"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
"labware_8","A2","labware_4","E9","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","F9","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","G9","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","B10","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","C10","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","D10","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","E10","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","F10","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","G10","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","B11","150","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","C11","150","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","D11","150","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","E11","150","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","F11","150","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","G11","150","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_5","B7","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","C7","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","D7","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","E7","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","F7","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","G7","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","B8","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","C8","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","D8","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","E8","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","F8","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","G8","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","B9","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","C9","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","D9","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","E9","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","F9","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","G9","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","B10","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","C10","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","D10","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","E10","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","F10","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","G10","50","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","B11","150","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","C11","150","0","40","Distributing Medium-B to labware_5"
