"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","tipID","Comment"
"labware_8","A10, B10, C10, D10, E10, F10, G10, H10","labware_6","A10, B10, C10, D10, E10, F10, G10, H10","100","100","151","Distributing column 10 to labware_6"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_1","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_1"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_2","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_2"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_4","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_4"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_5","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_5"
"labware_8","A11, B11, C11, D11, E11, F11, G11, H11","labware_6","A11, B11, C11, D11, E11, F11, G11, H11","100","100","159","Distributing column 11 to labware_6"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_1","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_1"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_2","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_2"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_4","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_4"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_5","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_5"
"labware_8","A12, B12, C12, D12, E12, F12, G12, H12","labware_6","A12, B12, C12, D12, E12, F12, G12, H12","200","200","167","Distributing column 12 to labware_6"
">DeckMap","","","","","","",""
"labware_1","96-well_4",NA,NA,NA,NA,NA,NA
"labware_2","96-well_5",NA,NA,NA,NA,NA,NA
"labware_3","(empty)",NA,NA,NA,NA,NA,NA
"labware_4","96-well_1",NA,NA,NA,NA,NA,NA
"labware_5","96-well_2",NA,NA,NA,NA,NA,NA
"labware_6","96-well_3",NA,NA,NA,NA,NA,NA
"labware_7","tip",NA,NA,NA,NA,NA,NA
"labware_8","DeepWell",NA,NA,NA,NA,NA,NA
"labware_9","Stock_1.5",NA,NA,NA,NA,NA,NA
"labware_10","tip",NA,NA,NA,NA,NA,NA
"labware_11","solvent_50",NA,NA,NA,NA,NA,NA
"labware_12","TRASH",NA,NA,NA,NA,NA,NA
